timestamp,open,high,low,close,volume
2022-11-01,1.7900,1.8500,1.7800,1.8500,10433
2022-10-31,1.7800,1.8600,1.7800,1.8600,5956
2022-10-28,1.7800,1.8100,1.7600,1.7800,6258
2022-10-27,1.8300,1.8300,1.7600,1.8100,2546
2022-10-26,1.7900,1.8100,1.7700,1.8000,17873
2022-10-25,1.7970,1.8199,1.7600,1.7600,15145
2022-10-24,1.8200,1.8200,1.7500,1.8000,5356
2022-10-21,1.8500,1.8500,1.8200,1.8200,6456
2022-10-20,1.9100,1.9200,1.8600,1.9000,14544
2022-10-19,1.9000,1.9600,1.8751,1.8751,1537
2022-10-18,1.9300,1.9300,1.8400,1.8900,13969
2022-10-17,1.8500,1.8500,1.8273,1.8437,5097
2022-10-14,1.8500,1.9200,1.8500,1.8700,9856
2022-10-13,1.8600,1.8700,1.7900,1.8400,11058
2022-10-12,1.8900,1.8900,1.8600,1.8700,9090
2022-10-11,1.9000,1.9000,1.8600,1.8950,1241
2022-10-10,1.8900,1.9187,1.8900,1.9100,5561
2022-10-07,1.9394,1.9700,1.8400,1.8900,11290
2022-10-06,1.8700,1.9800,1.8700,1.9600,6811
2022-10-05,1.7201,1.8500,1.7201,1.8300,6508
2022-10-04,1.7100,1.8500,1.7100,1.8199,5210
2022-10-03,1.7000,1.7522,1.7000,1.7454,1561
2022-09-30,1.7500,1.7800,1.7100,1.7100,4345
2022-09-29,1.7500,1.7600,1.7464,1.7600,3106
2022-09-28,1.7600,1.7800,1.7250,1.7800,5188
2022-09-27,1.8300,1.8300,1.6600,1.6600,7996
2022-09-26,1.7843,1.7843,1.7200,1.7200,11633
2022-09-23,1.9059,1.9400,1.7006,1.7350,33933
2022-09-22,1.9656,2.0000,1.9300,1.9400,16948
2022-09-21,1.9900,2.0000,1.9094,1.9800,21343
2022-09-20,1.9600,1.9900,1.9199,1.9800,14023
2022-09-19,1.8500,1.8700,1.8000,1.8200,7302
2022-09-16,1.8600,1.9500,1.8100,1.8100,12208
2022-09-15,1.8900,1.9010,1.7600,1.8500,46081
2022-09-14,2.0100,2.0100,1.9200,1.9800,50108
2022-09-13,1.9700,2.0600,1.9201,2.0100,36772
2022-09-12,1.9600,2.0510,1.9600,2.0100,5095
2022-09-09,2.1200,2.1800,1.9600,2.0400,31206
2022-09-08,2.1900,2.1900,2.1300,2.1550,34519
2022-09-07,2.1300,2.1900,2.1300,2.1600,14299
2022-09-06,2.1900,2.3400,2.1500,2.2200,170078
2022-09-02,2.4800,2.4800,2.1200,2.1900,67359
2022-09-01,2.5000,2.5000,2.3638,2.4555,15171
2022-08-31,2.5800,2.5800,2.4601,2.5000,16098
2022-08-30,2.4800,2.5700,2.4800,2.5400,13550
2022-08-29,2.4100,2.5500,2.4001,2.4500,13730
2022-08-26,2.5200,2.5700,2.4300,2.4700,33433
2022-08-25,2.5200,2.6393,2.5100,2.5200,72480
2022-08-24,2.5100,2.6100,2.4500,2.6000,41390
2022-08-23,2.3200,2.5600,2.3200,2.5600,56892
2022-08-22,2.6100,2.6100,2.3000,2.3600,74328
2022-08-19,2.6400,2.6400,2.5400,2.6000,84958
2022-08-18,2.4000,2.6400,2.3100,2.6000,325820
2022-08-17,2.1000,2.4800,2.1000,2.4000,223563
2022-08-16,1.9500,2.1500,1.8700,2.1200,106072
